company_code,document_number,description,payment_type,amount,currency_code,transaction_type,seller_number,customer_number,main_account,desc_length,desc_has_numbers,desc_uppercase_ratio,has_tckn,has_vkn,has_tckn_or_vkn,has_hvl,has_int,has_cepsube,has_komisyon,has_ucret,has_masraf,has_odeme,has_tahsilat,has_havale,has_virman,has_fatura,has_cek,has_eft,has_company_name,number_count,has_dash,has_dot,amount_log,amount_range,trans_pay_combo,company_group,doc_number_first_digit,doc_number_length,is_check_transaction,is_eft_transaction,is_transfer,is_high_amount,desc_suggests_seller,desc_suggests_customer,expects_seller,expects_customer,expects_main_account,payment_type_encoded,transaction_type_encoded,trans_pay_combo_encoded,amount_range_encoded,company_group_encoded,doc_number_first_digit_encoded,company_code_encoded
1504,4200004758,INT-HVL-KTYMEDYA-KTYMEDYAREKLAMHIZMTCKN:VKN:,H,480000.0,TRY,NTRF,,1200108892.0,,44,0,0.8863636363636364,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,13.081543466215237,xlarge,NTRF_H,group_A,4,10,0,0,1,0,0,0,0,1,0,0,6,9,5,0,0,1504
1504,4200004762,016716297369AIFA2AIFAHOLDINGANONIMSIRKETITCKN:VK,H,2600000.0,TRY,NTRF,,1200200099.0,,48,1,0.7083333333333334,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,14.77102238760702,mega,NTRF_H,group_A,4,10,0,0,1,1,0,0,0,1,0,0,6,9,2,0,0,1504
1504,4200004764,INT-HVL-MAHSUBEN-WATTREKLAMTANITIMTTCKN:V,H,20000.0,TRY,NTRF,,1200116214.0,,41,0,0.9024390243902439,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,9.90353755128617,large,NTRF_H,group_A,4,10,0,0,1,0,0,0,0,1,0,0,6,9,0,0,0,1504
1504,4200004765,INT-HVL-BAŞAKŞEHİRMEDYAILETISIMPAZ.-DENIZREKLAMFIL,H,350000.0,TRY,NTRF,,1200100364.0,,50,0,0.92,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,12.765691290604371,xlarge,NTRF_H,group_A,4,10,0,0,1,0,0,0,0,1,0,0,6,9,5,0,0,1504
1504,4200004773,ISTANBULDUZYOL-0051413TCKN:VKN:,S,14400.0,TRY,NEFT,3200108631.0,,,31,1,0.6774193548387096,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,9.575052927597383,large,NEFT_S,group_A,4,10,0,1,0,0,0,0,1,0,0,1,2,3,0,0,0,1504
1504,4200004774,835ISTANBULYURTICIKARGOSERVISIA.S.TCKN:VKN:,S,1174.51,TRY,NTRF,3200102082.0,,,43,1,0.8372093023255814,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,7.06945737496223,medium,NTRF_S,group_A,4,10,0,0,1,0,0,0,1,0,0,1,6,10,1,0,0,1504
1504,4200004778,ISTANBULAIFAHOLDINGANONIMSIRKETITCKN:VK,S,8850000.0,TRY,NTRF,3200200009.0,,,39,0,0.9743589743589743,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15.995928129978456,mega,NTRF_S,group_A,4,10,0,0,1,1,0,0,1,0,0,1,6,10,2,0,0,1504
1504,4200004779,9ISTANBULAIFAHOLDINGANONIMSIRKETITCKN:VK,S,8900000.0,TRY,NTRF,3200200009.0,,,40,1,0.95,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,16.001561947061912,mega,NTRF_S,group_A,4,10,0,0,1,1,0,0,1,0,0,1,6,10,2,0,0,1504
1504,4200004780,9ISTANBULAIFAHOLDINGANONIMSIRKETITCKN:VK,S,8750000.0,TRY,NTRF,3200200009.0,,,40,1,0.95,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,15.984564372619506,mega,NTRF_S,group_A,4,10,0,0,1,1,0,0,1,0,0,1,6,10,2,0,0,1504
1504,4200004756,NOLUCEKODEMESIICINVIRMANTCKN:VKN:,S,500000.0,TRY,NCHK,,,1020101022.0,33,0,0.9393939393939394,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,13.122365377402328,xlarge,NCHK_S,group_A,4,10,1,0,0,0,0,1,1,0,0,1,1,1,5,0,0,1504
